# {"t_start": 1608789182.3069544} 
r,l,t
26.491749,800,3859.300614
12.424459,266,3880.443277
24.518335,556,3882.034055
26.392977,800,3883.498822
33.59806,800,3893.664404
37.104576,769,3897.786021
31.539818,681,3922.033483
28.46286,800,3925.299871
15.489114,309,3929.41298
23.661936,800,3937.587434
13.839493,348,3943.650575
8.7534485,195,3953.846653
15.1343355,297,3954.604156
22.394789,800,3970.023258
34.43582,800,3972.444447
25.435104,800,3986.564145
24.259819,800,4011.412771
26.436886,800,4014.573584
20.631582,618,4017.626804
11.476779,325,4038.774647
24.575527,800,4042.625432
26.48097,800,4043.383899
8.8778305,171,4053.199839
30.829542,800,4058.363051
39.55343,800,4060.672615
40.226513,800,4074.162595
9.79048,211,4076.239138
30.38849,800,4101.57809
39.08747,800,4104.630546
24.131887,553,4109.735983
11.593874,235,4121.663039
14.877465,310,4122.727508
23.546614,800,4131.171421
9.628857,194,4138.863463
30.818115,800,4142.145066
24.43894,800,4149.268211
25.881643,800,4162.877355
29.887146,800,4192.659082
24.063248,800,4197.807441
22.988272,483,4202.68881
39.724792,800,4210.95898
16.597736,348,4212.835874
10.108251,216,4216.908257
26.181194,800,4220.218594
28.922207,800,4227.833833
23.898392,800,4237.381482
12.551311,269,4243.043546
24.032337,522,4247.784808
13.924288,380,4279.362333
25.695566,800,4281.893627
16.641602,328,4290.624465
9.144569,207,4299.436994
29.65312,800,4300.214208
39.137894,800,4302.156271
23.863993,800,4306.499811
9.581085,214,4324.201421
19.164692,528,4326.137142
29.319603,800,4327.20488
28.741041,800,4337.221931
23.157354,632,4375.194776
28.127657,800,4379.585487
25.14164,800,4388.480978
21.79632,800,4389.229911
22.849802,800,4412.078864
25.018204,800,4414.028986
21.920103,800,4415.095647
30.874977,800,4425.880554
13.202342,265,4455.309941
25.64802,581,4458.675813
15.157355,326,4462.681048
26.358604,742,4464.54706
27.715858,800,4466.058573
13.879194,274,4470.526927
24.080006,800,4478.905976
11.793077,247,4486.259789
12.941494,270,4493.558615
24.755148,800,4504.831918
10.379653,214,4511.796296
22.664394,800,4545.061234
25.760073,555,4546.512099
28.99843,800,4548.779753
22.475924,800,4552.712855
32.27678,800,4555.41815
28.549955,800,4574.100576
14.708382,364,4576.764939
7.0772095,158,4588.591507
27.41854,800,4594.175825
20.519112,479,4596.752273
28.971064,800,4601.942582
8.462808,189,4606.173184
15.288612,336,4607.71183
21.532116,800,4637.144586
24.820244,800,4639.438968
22.470629,800,4643.351674
